Container_ID,Equipment_Type,Arrival_Time,Arrival_Mode,Railcar_ID,Well_Position,Blocked_By
JBHU7253307,53_Dry_Van,2026-08-27T04:02:00+00:00,Rail,TTZX662485,Single,None
SCHU3667526,53_Dry_Van,2026-08-27T04:03:00+00:00,Rail,TTZX709038,Single,None
JBHU1649292,53_Dry_Van,2026-08-27T04:04:00+00:00,Rail,TTZX818187,Single,None
MSKU6293560,40_High_Cube,2026-08-27T04:05:00+00:00,Rail,TTZX539020,Bottom,SUDU7888870
SUDU7888870,40_High_Cube,2026-08-27T04:05:00+00:00,Rail,TTZX539020,Top,None
APLU1315666,40_High_Cube,2026-08-27T04:05:00+00:00,Rail,TTZX770379,Bottom,APLU7030779
APLU7030779,40_High_Cube,2026-08-27T04:05:00+00:00,Rail,TTZX770379,Top,None
SCHU4761732,53_Dry_Van,2026-08-27T04:05:00+00:00,Rail,TTZX330590,Single,None
APLU9027368,20_Standard,2026-08-27T04:06:00+00:00,Rail,TTZX218007,Bottom,MSKU4410101
MSKU4410101,40_High_Cube,2026-08-27T04:06:00+00:00,Rail,TTZX218007,Top,None
SCHU1979314,53_Dry_Van,2026-08-27T04:07:00+00:00,Rail,TTZX435761,Single,None
MSKU2512887,40_High_Cube,2026-08-27T04:07:00+00:00,Rail,TTZX497444,Bottom,SUDU9792417
SUDU9792417,20_Standard,2026-08-27T04:07:00+00:00,Rail,TTZX497444,Top,None
APLU9155780,40_High_Cube,2026-08-27T04:08:00+00:00,Rail,TTZX966123,Bottom,SUDU9517879
SUDU9517879,40_High_Cube,2026-08-27T04:08:00+00:00,Rail,TTZX966123,Top,None
ZIMU6208156,40_High_Cube,2026-08-27T04:09:00+00:00,Rail,TTZX722851,Bottom,EMCU5583401
EMCU5583401,40_High_Cube,2026-08-27T04:09:00+00:00,Rail,TTZX722851,Top,None
HLCU5229282,20_Standard,2026-08-27T04:09:00+00:00,Rail,TTZX978298,Bottom,EMCU2087157
EMCU2087157,40_High_Cube,2026-08-27T04:09:00+00:00,Rail,TTZX978298,Top,None
SUDU1826110,40_High_Cube,2026-08-27T04:13:00+00:00,Rail,TTZX949119,Bottom,SUDU5744046
SUDU5744046,20_Standard,2026-08-27T04:13:00+00:00,Rail,TTZX949119,Top,None
EMCU8572885,20_Standard,2026-08-27T04:13:00+00:00,Rail,TTZX628023,Bottom,SUDU6017910
SUDU6017910,20_Standard,2026-08-27T04:13:00+00:00,Rail,TTZX628023,Top,None
SCHU5654791,53_Dry_Van,2026-08-27T04:14:00+00:00,Rail,TTZX411472,Single,None
HLCU1708651,20_Standard,2026-08-27T04:15:00+00:00,Rail,TTZX555785,Bottom,SUDU1796231
SUDU1796231,40_High_Cube,2026-08-27T04:15:00+00:00,Rail,TTZX555785,Top,None
SCHU8966807,53_Dry_Van,2026-08-27T04:16:00+00:00,Rail,TTZX955084,Single,None
JBHU8060690,53_Dry_Van,2026-08-27T04:17:00+00:00,Rail,TTZX587147,Single,None
HLCU6002879,40_High_Cube,2026-08-27T04:18:00+00:00,Rail,TTZX642105,Bottom,SUDU3892039
SUDU3892039,20_Standard,2026-08-27T04:18:00+00:00,Rail,TTZX642105,Top,None
HLCU6998738,40_High_Cube,2026-08-27T04:19:00+00:00,Rail,TTZX822291,Bottom,APLU6383149
APLU6383149,40_High_Cube,2026-08-27T04:19:00+00:00,Rail,TTZX822291,Top,None
ZIMU7766152,40_High_Cube,2026-08-27T04:20:00+00:00,Rail,TTZX240998,Bottom,MSKU4073130
MSKU4073130,40_High_Cube,2026-08-27T04:20:00+00:00,Rail,TTZX240998,Top,None
SCHU1983567,53_Dry_Van,2026-08-27T04:22:00+00:00,Rail,TTZX482096,Single,None
JBHU6154737,53_Dry_Van,2026-08-27T04:22:00+00:00,Rail,TTZX143266,Single,None
ZIMU5323601,20_Standard,2026-08-27T04:25:00+00:00,Rail,TTZX746008,Bottom,MSKU7119342
MSKU7119342,40_High_Cube,2026-08-27T04:25:00+00:00,Rail,TTZX746008,Top,None
SCHU5389044,53_Dry_Van,2026-08-27T04:26:00+00:00,Rail,TTZX663835,Single,None
SCHU3262528,53_Dry_Van,2026-08-27T04:27:00+00:00,Rail,TTZX454811,Single,None
HLCU6117590,20_Standard,2026-08-27T04:28:00+00:00,Rail,TTZX389561,Bottom,HLCU7794169
HLCU7794169,40_High_Cube,2026-08-27T04:28:00+00:00,Rail,TTZX389561,Top,None
SCHU8393860,53_Dry_Van,2026-08-27T04:28:00+00:00,Rail,TTZX600388,Single,None
JBHU7153139,53_Dry_Van,2026-08-27T04:28:00+00:00,Rail,TTZX906070,Single,None
SCHU9365164,53_Dry_Van,2026-08-27T04:28:00+00:00,Rail,TTZX125607,Single,None
SCHU1098204,53_Dry_Van,2026-08-27T04:30:00+00:00,Rail,TTZX828848,Single,None
JBHU1062509,53_Dry_Van,2026-08-27T04:32:00+00:00,Rail,TTZX964584,Single,None
SCHU3039453,53_Dry_Van,2026-08-27T04:33:00+00:00,Rail,TTZX968341,Single,None
ZIMU2147366,20_Standard,2026-08-27T04:33:00+00:00,Rail,TTZX817042,Bottom,APLU4360252
APLU4360252,40_High_Cube,2026-08-27T04:33:00+00:00,Rail,TTZX817042,Top,None
EMCU2506799,40_High_Cube,2026-08-27T04:33:00+00:00,Rail,TTZX491377,Bottom,EMCU1140998
EMCU1140998,20_Standard,2026-08-27T04:33:00+00:00,Rail,TTZX491377,Top,None
